nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
902.3687374591827,133.16298723220825,919.9616897106171,113.98196071386337,879.4866406917572,115.02370923757553,947.6255750656128,121.88744992017746,858.4954690933228,125.83671033382416,989.608690738678,214.42363679409027,806.2986731529236,208.47280204296112,1016.5729379653931,264.0813034772873,774.3956315517426,253.59587252140045,958.8461780548096,230.58675169944763,854.059556722641,218.5047733783722,950.9274280071259,512.7621674537659,840.4042375087738,511.5712022781372,966.386125087738,730.8009123802185,817.1576607227325,740.2990865707397,971.3421392440796,920.8496260643005,809.986184835434,931.5865302085876
902.2777239123011,134.0504643909903,919.8944791698273,118.28927415859206,881.8314134460562,117.56271681628053,947.5566895072117,122.83827959032527,857.8802545968939,126.06740164853885,992.0847902604046,214.23980709153992,809.3491972284479,205.90879364873413,1012.7348373000824,261.6161336123548,783.9284965145642,250.4293523998241,957.8304014983161,222.6599877231152,865.1467977353389,213.26611423970962,952.3657979046658,512.4203331212905,839.8321347920304,510.5788649049457,966.5493970344727,731.5229380517557,817.259010343388,742.2919571052347,971.5376498492018,924.2344992982938,810.4866560339696,931.9402934760585
902.0873541635942,132.88846585991791,919.2776577237864,118.09685489528512,883.2251862056238,117.08033635522438,946.636346031096,122.8350451096366,856.8985940869509,126.613754570823,991.9849039105,213.45186629901195,810.6154879843642,205.51900603219968,1012.3532276503126,259.51285670598907,784.6304111778572,251.0452916371083,953.1343310747786,223.47237085119124,866.4069948989267,214.44603236345048,953.1170442249984,510.960308195285,839.4162240614222,509.11135138447406,966.4342353350647,732.7272368271558,817.5658341547199,742.0261886440991,972.0226209121054,926.4427722203233,811.1400236219889,931.6816485085716
901.9537012575653,132.13204827429448,918.9513500479233,117.88728445066891,884.241011164568,116.53160422403539,945.7237246571478,122.67945774892235,856.4387581486047,126.99366687081124,992.1807552054865,212.08732576916486,811.6051392009638,204.34110078380002,1010.9266344796617,258.1602736117665,786.3437632146047,249.6979869831498,951.0764919270553,221.50801524132234,867.5183746425465,213.836569925159,954.0585572242369,509.1491004318472,839.4599517149367,507.16861675688347,966.5747964227465,732.8537151130585,817.7117819277039,743.4712427046946,971.7657642859796,925.175320216139,811.1007353361629,931.0136436537587
901.8533009572099,132.20229926008363,918.8447948218131,118.42920409910984,884.4170786027454,116.81984899146254,945.4709324686664,122.6178062288583,856.2391057962785,126.94910679819624,992.1090509311888,212.18864373868445,811.47813637389,203.5641757030271,1011.072265815317,258.02481062717004,788.3108254294664,248.4451152143615,950.398800150291,221.02083278214448,866.5316229504328,214.1299161181307,953.740479670255,505.8657552099978,839.221377401544,505.4542735698876,966.5597359949483,733.5231889366321,818.0915281214232,741.6807906548868,971.9014235099391,927.2317634959494,811.2039838443326,931.423383025199
901.7728532009236,132.15263162945286,918.6826955961438,118.38356688816712,884.4665773304557,116.85864180448482,945.4960043402638,122.19385810443964,856.1191879323877,126.8806859357141,992.7831643839589,211.96423164306557,811.2022699617191,203.77399678493882,1009.0571151121108,256.96298043401185,790.3458553613631,247.9583288652822,948.9576043982481,221.07648994907115,861.9057519249768,214.40093459130998,953.8758563127727,503.907826276982,839.2040099226251,503.7245619932353,966.7488355356786,731.5527192764354,818.1579346377459,741.9819111073093,971.942708411373,927.2390646096934,809.47016698257,929.3213481177448
901.7077297392572,132.17674277835104,918.5101635009139,118.2705449615613,884.3694205277653,116.86293011664088,945.5757491860218,122.12362287881588,856.0543166247903,127.06773206596478,993.1081933100884,212.0372789761989,811.3175965712712,204.05978552505374,1009.0217069669228,255.60919376779677,790.7403672335421,248.04209724793282,946.9779255365306,221.52305011269445,860.6986154113574,214.74278105527026,953.6866211056612,502.18792986243625,839.1848303711014,502.2600100094505,966.6413106916617,730.8998912051269,818.7961418831129,740.3197551043615,972.0464084955297,926.769181998974,807.9491105026068,928.2507924759531
901.6871847459331,132.30028110059004,918.6232200861152,118.25456990343953,884.396520457952,116.80957847464477,945.7549527152886,121.96737871837506,856.1899661883849,126.95170055585565,993.3851366123369,212.4591150967876,811.326950127145,203.67390053960474,1008.9629184902309,254.73649095109988,790.3466705389096,246.5637049769041,952.0046864717292,220.50383264088225,863.5299568813024,213.862781184249,953.6558272905332,501.6227089708406,839.327611847427,502.3691474007649,966.4732201960076,729.7065705976224,818.9698467476557,739.0682262101085,972.5779456615345,924.8108762938574,808.0949671168298,927.7455772067035
901.7008122972775,132.23771227869926,918.7099586025502,118.14928192297623,884.4420398348834,116.65851396857506,945.8519240054228,121.79695188724509,856.301983655232,126.86377669042054,993.4208884041459,212.77605355933193,811.3819061051374,203.58829526381518,1008.6995630836034,254.39728308452712,790.2245549195121,246.29923795028705,953.2217512138839,220.7750457575186,863.8268420339062,213.97213679631295,953.7049219859074,501.3393774466993,839.4217837752745,502.20345076444664,966.2716211918912,729.3787106490449,819.1236124345252,738.1845981636535,972.7435389453633,923.9923610911136,808.177205391793,926.777736302604
901.7341166338715,132.4102201734534,918.9717991004098,118.09224061363216,884.6492114685897,116.63179176229895,946.1550680279258,121.87312410789727,856.492101029551,126.16057403018122,993.5886769159456,212.73315503333217,811.1844659146095,202.57195423115917,1009.0858698657202,253.77275799851282,790.038024189146,245.3645839794008,955.7208163307819,221.16945592777998,867.9075914225741,212.70266498718854,953.6548397425274,501.4063500314163,839.5818882793474,502.5488268301977,966.3131327455792,730.5496625245919,819.1794940880552,738.5708437771718,973.1476092533761,924.1027207494031,808.3095800274197,927.2215167335447
901.7388666571534,132.29886075162497,919.0051011873243,117.94969371894817,884.7334209622611,116.52664323009476,945.9713808212748,121.28335072134777,856.6638241940315,125.80560798628811,993.8101986312457,212.06215108839243,811.081380213261,201.91044314759716,1009.1003385848313,253.61704858421842,790.6998998622674,244.44469943219954,955.2127577823021,220.90001843759927,867.6138975980001,212.58386551672123,953.792623543429,501.75602800019396,839.8146721969168,502.85568175430245,966.6478365622405,730.571366196614,819.2373280245656,739.9242601630224,973.319358086759,924.3756979970261,808.5084514263357,929.047433606661
901.5608005994582,132.2032638969707,918.6060844825106,117.4652558822179,884.4553890707539,116.20268883720982,945.6248417841007,120.29095072083561,856.8480898969141,124.79792775916667,994.2100334726431,210.56539996176178,811.1316592130405,200.11611460448344,1009.7753276445362,253.72298076136988,790.9265522422761,244.270122655134,955.2353151057565,220.593058096913,868.9682712497581,212.40406463265327,953.5927753682906,501.78369858109875,839.9372158064384,503.22339544958857,967.0285461483968,728.9679283501177,819.2356593577941,739.5063270835237,973.2356975080954,924.4190599439754,809.1253820035929,928.5370878588892
901.4937761630503,130.3762394654681,917.8061528997545,114.4388478966613,884.3670658973664,114.29908687052892,945.6056058609139,118.70389354564324,857.0829951693526,123.47391098252244,994.2057621245348,208.33381686312794,811.0407139694049,199.72199720045896,1009.8059360475847,253.40126924082958,790.5657568739838,244.74528240788382,951.3794261298156,220.94687437247072,865.3776886871832,213.37065568682058,952.9967884136763,502.12893248364156,839.8640184939957,503.62980516363706,967.3520866003109,729.0121494941059,819.1175587990132,739.5731917646491,973.5393461346291,924.7772387068285,809.0505660887776,927.627659081926
901.6239550381505,129.23017660717457,918.2876093160065,114.05309830798947,884.7256082745013,113.42236135279416,945.7134279831357,117.55422154161143,857.5552934096813,122.19158860288769,994.1794757160953,208.44697193433782,811.4211011935636,199.1723494870277,1009.9473237337564,253.3457978186208,790.6396211924848,245.04986371060855,951.2484555182934,220.93574274966227,866.3227942333499,212.52237834747532,953.0136013577362,502.287830936096,839.5111290338162,503.8189767341472,968.3065562608929,731.317637253227,818.7486421860656,740.2625869292422,973.7074464640029,927.7526967660147,809.1850245774087,928.992794081659
901.5604484199968,128.90293823475767,918.4781915298016,114.03660589317707,884.7822104456951,113.39359907053033,945.875377686963,117.5317197621059,857.7111586955791,122.03724011986614,994.3532027557374,208.6401709723651,811.3159780509468,198.86551336881462,1010.0162986010982,253.03951047672882,791.0894333097488,244.90459303629146,951.2119098640202,220.58222551288253,867.9750446652023,212.37401350564653,952.9916411370997,502.4708643202869,839.177753654965,504.32982161446046,968.6582481303767,731.2991338000788,818.4045847263619,740.4677314608257,973.9193891047822,928.7367174095742,810.1598424967458,928.9776653583571
901.8856579455379,127.25152840935888,918.9950691761086,112.80734398807924,885.3310901603029,112.65409077480818,945.9359485069775,116.53417164931219,857.8757776556223,121.74026172523735,994.4385389254378,208.4711590314653,811.0027949853064,199.11043459777756,1010.763588208954,252.77647957437804,790.9173029872074,245.11068870982248,951.2725025174047,220.42756123593728,867.1186578103104,212.83436063552213,953.8413106477059,502.6907140544394,839.0825754697545,504.7544426004978,969.9884134858513,731.422440973312,818.1010251889987,739.2737807071219,973.9173628741713,928.8823456286633,810.7304688372209,927.989615953424
